,athlete_link,athlete_name,meet_date,rank,team_link,team_name,time,year
742,https://tf.tfrrs.org/athletes/5036991/StMary-KS/Andres_Guerrero,"Guerrero, Andres","Mar 27, 2015",14,https://tf.tfrrs.org/teams/tf/KS_college_m_StMary-KS.html,St. Mary (Kan.),15:44.92,JR-3
743,https://tf.tfrrs.org/athletes/5115522/Friends/Easton_Moore,"Moore, Easton","Apr 4, 2015",15,https://tf.tfrrs.org/teams/tf/KS_college_m_Friends.html,Friends,15:45.86,FR-1
744,https://tf.tfrrs.org/athletes/3730552/Ottawa/Cole_Carlson,"Carlson, Cole","Mar 28, 2015",16,https://tf.tfrrs.org/teams/tf/KS_college_m_Ottawa.html,Ottawa,15:46.24,SR-4
745,https://tf.tfrrs.org/athletes/4174750/StMary-KS/Russell_Brown,"Brown, Russell","Mar 27, 2015",17,https://tf.tfrrs.org/teams/tf/KS_college_m_StMary-KS.html,St. Mary (Kan.),15:49.70,JR-3
746,https://tf.tfrrs.org/athletes/5003849/Kansas_Wesleyan/Nick_Robinson,"Robinson, Nick","Apr 22, 2015",18,https://tf.tfrrs.org/teams/tf/KS_college_m_Kansas_Wesleyan.html,Kansas Wesleyan,15:51.04,JR-3
747,https://tf.tfrrs.org/athletes/4599422/McPherson/Christopher__Newell,"Newell, Christopher","Mar 27, 2015",19,https://tf.tfrrs.org/teams/tf/KS_college_m_McPherson.html,McPherson,16:06.54,SR-4
748,https://tf.tfrrs.org/athletes/4593132/StMary-KS/Garrett_Colglazier,"Colglazier, Garrett","Apr 22, 2015",20,https://tf.tfrrs.org/teams/tf/KS_college_m_StMary-KS.html,St. Mary (Kan.),16:08.99,SR-4
749,https://tf.tfrrs.org/athletes/4595865/Sterling/Joe_Magana,"Magana, Joe","Apr 2, 2015",21,https://tf.tfrrs.org/teams/tf/KS_college_m_Sterling.html,Sterling,16:16.36,SR-4
750,https://tf.tfrrs.org/athletes/5003838/Kansas_Wesleyan/Christian_Perez,"Perez, Christian","Apr 8, 2015",22,https://tf.tfrrs.org/teams/tf/KS_college_m_Kansas_Wesleyan.html,Kansas Wesleyan,16:16.89,FR-1
751,https://tf.tfrrs.org/athletes/3757367/Friends/Peyton_Wade,"Wade, Peyton","Mar 27, 2015",23,https://tf.tfrrs.org/teams/tf/KS_college_m_Friends.html,Friends,16:17.03,SR-4
752,https://tf.tfrrs.org/athletes/5081488/Ottawa/Brian__Newkirk,"Newkirk, Brian","Apr 4, 2015",24,https://tf.tfrrs.org/teams/tf/KS_college_m_Ottawa.html,Ottawa,16:20.44,FR-1
753,https://tf.tfrrs.org/athletes/3680452/Southwestern_KS/Nick_Warnke,"Warnke, Nick","Mar 12, 2015",25,https://tf.tfrrs.org/teams/tf/KS_college_m_Southwestern_KS.html,Southwestern (Kan.),16:20.91,SR-4
754,https://tf.tfrrs.org/athletes/4599423/McPherson/Chris_Le,"Le, Chris","Mar 27, 2015",26,https://tf.tfrrs.org/teams/tf/KS_college_m_McPherson.html,McPherson,16:22.29,SR-4
755,https://tf.tfrrs.org/athletes/4165634/Friends/Andrew_Means,"Means, Andrew","Mar 12, 2015",27,https://tf.tfrrs.org/teams/tf/KS_college_m_Friends.html,Friends,16:23.10,SR-4
756,https://tf.tfrrs.org/athletes/3705585/Tabor/Garrett_Daugherty,"Daugherty, Garrett","Mar 27, 2015",28,https://tf.tfrrs.org/teams/tf/KS_college_m_Tabor.html,Tabor,16:25.86,SR-4
757,https://tf.tfrrs.org/athletes/4114140/Southwestern_KS/Caleb_Jackson,"Jackson, Caleb","Apr 18, 2015",29,https://tf.tfrrs.org/teams/tf/KS_college_m_Southwestern_KS.html,Southwestern (Kan.),16:30.27,JR-3
758,https://tf.tfrrs.org/athletes/4091875/Kansas_Wesleyan/Jason_Berry,"Berry, Jason","Apr 22, 2015",30,https://tf.tfrrs.org/teams/tf/KS_college_m_Kansas_Wesleyan.html,Kansas Wesleyan,16:32.57,SR-4
759,https://tf.tfrrs.org/athletes/4572006/Friends/Brooks_Rummery,"Rummery, Brooks","Apr 8, 2015",31,https://tf.tfrrs.org/teams/tf/KS_college_m_Friends.html,Friends,16:34.30,SO-2
760,https://tf.tfrrs.org/athletes/4599425/McPherson/Kurt_Katzdorn,"Katzdorn, Kurt","Apr 18, 2015",32,https://tf.tfrrs.org/teams/tf/KS_college_m_McPherson.html,McPherson,16:37.65,SO-2
761,https://tf.tfrrs.org/athletes/4515989/Kansas_Wesleyan/Ian_Woods,"Woods, Ian","Apr 8, 2015",33,https://tf.tfrrs.org/teams/tf/KS_college_m_Kansas_Wesleyan.html,Kansas Wesleyan,16:39.29,SO-2
762,https://tf.tfrrs.org/athletes/4998208/Southwestern_KS/Jersey_Boydstun,"Boydstun, Jersey","Apr 18, 2015",33,https://tf.tfrrs.org/teams/tf/KS_college_m_Southwestern_KS.html,Southwestern (Kan.),16:39.29,FR-1
763,https://tf.tfrrs.org/athletes/3757354/Friends/Brock_Nooney,"Nooney, Brock","Apr 18, 2015",35,https://tf.tfrrs.org/teams/tf/KS_college_m_Friends.html,Friends,16:41.48,SR-4
764,https://tf.tfrrs.org/athletes/4599427/McPherson/Jordan_Bost,"Bost, Jordan","Apr 18, 2015",36,https://tf.tfrrs.org/teams/tf/KS_college_m_McPherson.html,McPherson,16:43.94,SO-2
765,https://tf.tfrrs.org/athletes/4564177/Ottawa/Evan_Smith,"Smith, Evan","Apr 17, 2015",37,https://tf.tfrrs.org/teams/tf/KS_college_m_Ottawa.html,Ottawa,16:47.07,JR-3
766,https://tf.tfrrs.org/athletes/3766098/Southwestern_KS/Brandon_Hatch,"Hatch, Brandon","Apr 18, 2015",38,https://tf.tfrrs.org/teams/tf/KS_college_m_Southwestern_KS.html,Southwestern (Kan.),16:53.02,SR-4
